fseq,name,kcal,carb,prt,fat
386,두부 견과 콩국수,1893.25,251.29349,57.9545,71.756004
387,검은콩국수,2513.8,375.955,138.22,44.730003
388,서리태 냉콩국수,2295.5999,164.03,209.31,92.27701
389,피망절임,2828.6997,89.12399,98.9605,256.77402
390,카르쵸피 리피에니,1183.6998,90.287,27.815,78.976006
391,두부짜장면,3500.85,684.9835,111.04549,22.33
392,구운 파프리카,335.2,9.1695,28.2385,21.58
393,김치밥,1190.1,195.52202,19.275,33.612
394,해산물샐러드,426.84998,24.380499,40.293,19.055
395,사천식 소고기볶음,2501.3699,132.4923,92.4492,176.57321
396,매운어묵,499.1,50.373,62.082,8.333
397,연어 야채죽,968.48,125.4476,72.531204,15.273199
398,달걀 샐러드,740.14996,19.510998,44.339005,52.481503
399,딸기 롤 샌드위치,352.34998,52.3485,8.0130005,13.4595
400,마녀수프,984.0,73.53001,138.15999,17.71
401,닭튀김,1031.4401,166.2159,56.42499,17.693602
402,치킨 가라아게,1808.78,47.254295,193.70792,88.1179
403,꽁치고추장찌개,903.25006,46.997005,120.85901,24.002499
404,리코타치즈 치킨롤,551.2,7.728,74.262,23.631
405,볶음라면,1768.1001,237.48,30.178,78.015
406,김밥,1603.7,235.30002,84.314,34.374996
407,뼈다귀 감자탕,3084.68,141.7822,228.96031,160.33798
408,소고기(갈비)찜,2995.86,132.74269,154.25098,196.6275
409,게살덮밥,852.9001,97.045,31.781498,35.182
410,치즈듬풍토스트,189.0,16.668999,6.0579996,11.469
411,배추국,60.399994,7.5750003,3.9639997,1.6980001
412,치즈핫도그,130.6,9.107999,5.514,8.044
413,토마토라면,60.0,10.115,1.5469999,1.6559999
414,토마토 카레,89.0,13.504999,4.237,2.9769995
415,치즈불닭,1354.7599,126.76771,76.5035,60.389202
416,밀푀유 나베,985.1999,160.55,75.063995,13.035999
417,달걀 범벅,636.6,17.400002,64.225,35.161
418,고추장 케사디야,1274.1,113.369,99.11949,48.13
419,수제비,2340.6,363.939,74.593,61.991005
420,홍합 짬뽕,2603.8499,164.18901,253.092,98.548996
421,제육볶음,2583.4,179.657,182.0765,122.661
422,김치콩나물국,111.85,17.8725,7.8437004,1.9067999
423,이것이원윌이닭,3413.5002,530.788,93.477486,104.3635
424,자몽청,3959.1,1016.2699,1.27,0.2
425,단호박튀김,10069.15,680.44556,34.745003,805.49
426,두부카나페,594.85,63.3,24.977,28.919998
427,고등어 데리야끼구이,1368.8501,93.523994,109.1975,52.545494
428,돼지고기(앞다리살)살야채구이,813.2,18.662003,68.874,49.685
429,오이지,260.0,62.0,16.0,0.0
430,연어초밥,1713.2997,246.42552,81.70199,41.426003
431,닭갈비,1799.6897,128.5591,123.4594,87.494
432,치즈관자팽이나라,401.40002,41.506,49.16,7.523
433,멸치달걀볶음밥,1065.35,105.41701,67.787,37.691998
434,치즈달걀밥,659.5,14.818001,57.019,39.204
