,식품명,kcal,prt,fat,carb
150,전분(감자),334,0.07,0.02,82.7
151,전분(고구마),346,0,0.05,85.85
152,전분(밀),360,0.2,0.5,86
153,전분(쌀),375,0.2,0.7,89.3
154,전분(옥수수),366,0.19,0.56,89.6
155,전분(칡뿌리),356,0.2,0.2,85.6
156,천마,77,0.9,0,18.5
157,칡,137,2.48,0.1,32.05
158,칡즙,21,0.44,0,4.91
159,토란,71,2.08,0.14,15.77
160,히카마(얌빈),44,0.68,0.06,10.36
161,과당,375,0,0,99.9
162,껌,268,0,0.4,94.8
163,꿀,317,0.28,0.01,85.83
164,허니파우더,313,0.38,0.02,84.73
165,당밀,274,0.2,0,68.2
166,로얄제리,104,14.29,1.4,12.82
167,물엿,321,0.02,0,83.03
168,사탕,379,0.31,0.55,97.57
169,마쉬멜로,324,2.1,0,79.3
170,박하사탕,382,0.02,0.02,98.59
171,버터,352,0.22,8.22,90.62
172,설탕,389,0,0,99.77
173,각설탕,394,0,0,100
174,황설탕,386,0,0.01,99.81
175,흑설탕,379,0.12,0.01,97.88
176,메이플시럽,260,0.04,0.06,67.04
177,초콜릿시럽,268,2.1,0.1,67.1
178,아가베 시럽,310,0.1,0.5,76
179,양갱,298,3.37,0.14,73.44
180,엿,263,1.6,0,69.7
181,자이로과당,400,0,0,100
182,젤라틴,381,7.8,0,90.5
183,젤리,344,7.5,0.42,77.53
184,조청,326,0.53,0.24,87.9
185,초코바,479,9.36,21.51,61.98
186,화이트 초콜릿,265,3,18,22
187,초콜릿,598,7.79,42.63,45.9
188,캐러멜,423,1.8,10.7,79.9
189,포도당,342,0,0,91
190,푸딩,114,2.7,2.9,19.7
191,강낭콩,172,8.8,0.86,32.38
192,녹두,352,24.51,1.52,60.15
193,서리태,413,38.68,15.86,30.45
194,흑태,407,36.1,15.37,32.45
195,대두,409,36.21,14.71,32.99
196,두부,97,9.62,4.63,3.75
197,순두부,44,6.85,1.35,0.69
198,연두부,50,4.66,2.51,1.93
199,유부,450,26.11,34.23,7.93
200,비지,74,3.5,1.5,11.7
201,두유,62,3.01,3.92,3.42
202,동부,166,9.51,1.02,29.34
203,리마,306,21.9,1.8,60.8
204,렌즈콩(렌틸콩),359,21.01,1.43,65.42
205,밤콩,410,35,17.2,30.6
206,병아리콩,373,17.27,5.66,63.14
207,완두,114,7.92,0.44,19.51
208,작두(도두),125,9,0.3,21.5
209,잠두,341,26.12,1.53,58.29
210,쥐눈이콩(검정소립콩),403,37.32,14.61,30.59
211,팥,330,20.63,0.96,58.72
212,팥앙금,147,9.8,0.6,27.1
213,단팥,206,4.51,0.22,45.63
214,개암,628,14.95,60.75,16.7
215,도토리,230,4.4,3,46.7
216,도토리묵,47,0.33,0.11,11.23
217,들깨,530,22.68,39.74,29.26
218,버터넛,310,3,7,21
219,땅콩,520,25.74,42.57,18.36
220,때죽,551,13.6,44.7,31.8
221,마름,183,5.8,0.5,40.6
222,마카다미아,751,8.3,76.7,12.2
223,머루씨,282,6.3,4.8,54
224,목화씨,506,32.59,36.29,21.9
225,밤,151,3.28,0.5,33.39
226,브라질너트,659,14.32,67.1,11.74
