fseq
60
48
518
626
301
1
351
584
40
443
127
103
356
451
553
653
574
387
13
481
628
509
32
198
273
427
582
285
549
573
35
418
72
578
52
307
452
477
619
350
392
86
176
130
185
89
406
170
337
393
206
612
667
22
422
633
173
166
459
361
403
622
43
265
236
658
132
27
370
641
71
495
15
494
502
425
417
289
398
61
275
585
362
431
105
255
304
191
147
303
158
39
79
253
10
98
174
282
550
636
172
125
137
11
513
164
178
295
17
428
527
596
372
538
334
194
386
93
561
310
110
167
391
485
426
4
399
21
522
145
211
496
56
92
342
217
662
610
575
579
46
264
448
126
404
435
400
547
534
159
586
281
563
54
53
562
67
58
209
469
661
57
238
541
396
278
500
260
609
474
643
442
530
455
532
560
347
650
38
433
224
489
339
149
294
296
539
33
604
290
353
358
157
450
486
116
197
188
270
629
607
611
7
124
526
516
311
274
272
84
623
440
644
558
569
544
616
568
117
153
630
266
598
572
114
115
548
223
247
297
632
267
113
221
160
218
479
49
319
5
268
504
498
283
447
28
506
200
118
407
376
524
373
668
395
329
332
473
577
565
546
340
631
475
613
12
467
87
348
146
487
81
367
102
300
30
408
322
369
346
47
331
652
656
165
85
460
242
645
151
76
240
99
419
620
649
320
284
62
336
66
249
483
192
112
324
237
77
589
19
34
258
26
599
9
171
108
343
280
298
78
642
59
177
666
515
512
514
128
74
543
123
232
341
492
2
595
540
186
646
545
377
552
591
590
669
384
551
277
439
397
263
250
239
366
365
463
470
488
231
523
355
441
155
617
327
8
141
69
150
220
106
51
70
634
154
445
564
271
216
525
6
180
24
444
254
168
292
354
637
423
31
424
313
491
537
594
461
536
333
421
457
148
184
603
535
326
381
129
55
229
190
482
182
317
587
208
374
618
507
379
245
201
647
664
449
135
531
293
315
608
227
213
454
432
243
434
410
212
90
415
654
94
505
42
412
402
68
152
45
41
214
230
314
390
375
156
104
576
438
385
580
318
207
256
162
638
269
44
371
517
3
625
205
414
520
663
83
16
321
308
478
533
583
163
222
380
246
389
363
458
96
615
325
497
196
142
203
25
601
179
660
134
299
305
528
657
344
101
446
276
465
193
306
261
140
382
383
210
323
287
420
476
195
592
175
466
357
